inputobjs_input_id,inputobjs_input_ra,inputobjs_input_dec,inputobjs_dist,catalogue_obsid,catalogue_obsdate,catalogue_lmjd,catalogue_mjd,catalogue_planid,catalogue_spid,catalogue_fiberid,catalogue_class,catalogue_subclass,catalogue_z,catalogue_mag1,catalogue_mag2,catalogue_mag3,catalogue_mag4,catalogue_mag5,catalogue_ra,catalogue_dec,stellar_teff,stellar_logg,stellar_feh,stellar_rv
705,164.415763,0.757637,0.00160994073907852844,335115051,2015-03-19,57101,57100,HD110103N000249B01,15,51,STAR,F7,-0.0001431657,17.79,16.69,16.31,16.19,16.15,164.4157628000,0.7576374000,5959.97,4.122,-0.733,-42.92
834,57.512104,0.084887,0.00179999926835746997,382404101,2015-11-09,57336,57335,EG034838N001340M01,4,101,STAR,F0,0.0000716829,18.84,17.63,17.09,16.84,16.71,57.5121037000,0.0848866000,6110.67,4.069,-1.054,21.49
1104,55.043506,1.036925,0.949534333798021102,382414120,2015-11-09,57336,57335,EG034838N001340M01,14,120,STAR,K5,0.0002275908,18.31,17.45,17.04,99.00,99.00,55.0435662000,1.0366682000,4481.23,4.568,-1.405,68.23
748,50.917168,0.901690,0.00179991975211193336,388515243,2015-12-12,57369,57368,EG032649N000134B01,15,243,STAR,F9,0.0002599799,17.55,16.07,15.48,15.27,15.19,50.9171677000,0.9016904000,5449.71,3.915,-0.450,77.94
506,222.392751,0.605170,1.67828117360278273,422208211,2016-02-08,57427,57426,HD144614N015334M01,8,211,STAR,F6,-0.0001349600,17.19,99.00,99.00,99.00,99.00,222.3932100000,0.6052517000,5756.48,4.048,-1.443,-40.46
476,162.952954,-0.537272,0.00101821128782627083,437509094,2016-03-10,57458,57457,HD104840S015732M01,9,94,STAR,G8,0.0000122752,18.94,17.34,16.75,16.54,16.46,162.9529542000,-0.5372718000,5290.05,4.256,-0.274,3.68
187,161.811257,-1.020950,0.00179989730112739121,437515025,2016-03-10,57458,57457,HD104840S015732M01,15,25,STAR,G7,-0.0001519051,19.29,17.89,17.29,17.06,16.93,161.8112567000,-1.0209504000,5152.87,4.653,-0.792,-45.54
1306,161.817003,-0.559084,0.0017999691107824249,437515212,2016-03-10,57458,57457,HD104840S015732M01,15,212,STAR,F5,0.0004562156,18.54,17.63,17.32,17.21,17.17,161.8170027000,-0.5590844000,6209.17,4.176,-1.357,136.77
816,160.957186,-0.164095,0.00203646337137368405,437516187,2016-03-10,57458,57457,HD104840S015732M01,16,187,STAR,K3,0.0000665460,19.20,18.11,17.75,17.54,17.55,160.9571864000,-0.1640954000,4922.84,4.530,-0.200,19.95
300,165.999777,-0.438785,0.00113838979949162423,438208022,2016-03-11,57459,57458,HD110103N000249M01,8,22,STAR,F2,-0.0000756857,20.02,18.32,17.44,17.00,16.63,165.9997767000,-0.4387851000,5846.18,4.067,-0.680,-22.69
476,162.952954,-0.537272,0.00101821128782627083,438210108,2016-03-11,57459,57458,HD110103N000249M01,10,108,STAR,G7,0.0000193467,18.94,17.34,16.75,16.54,16.46,162.9529542000,-0.5372718000,5241.35,4.431,-0.389,5.80
